year,month,state,coal,petroleum,natural_gas,hydroelectric_conventional,wind,total,other_gases,nuclear,wood_and_wood_derived_fuels,other_biomass,other,solar_thermal_and_photovoltaic,pumped_storage,geothermal
2001,6,CA,215798,225416,9350107,3053895,438403,18071777,99957,3100798,316022,177255,18235,91086,24596,960209
2001,6,CO,3049285,10393,692832,175294,1797,3907473,NA,NA,NA,5059,0,NA,-27187,NA
2001,6,CT,330648,449051,260482,40871,NA,2660789,156,1441469,NA,71164,66948,NA,0,NA
2001,6,DC,NA,488,NA,NA,NA,488,NA,NA,NA,NA,NA,NA,NA,NA
2001,6,DE,254680,137224,154285,NA,NA,559124,12935,NA,NA,NA,NA,NA,NA,NA
2001,6,FL,6198990,4379783,4095534,12829,NA,18087619,116,2840206,155840,164402,239919,NA,NA,NA
2001,6,GA,6728163,90180,475637,274252,NA,10686690,NA,2927555,247125,2676,686,NA,-59584,NA
2001,6,HI,136812,659671,0,7376,101,873879,2329,NA,NA,30240,18845,NA,NA,18505
2001,6,IA,2788555,6646,53764,65670,35405,3294522,NA,334683,NA,8895,904,NA,NA,NA
2001,6,ID,8610,25,29712,771674,NA,860574,NA,NA,47917,NA,2636,NA,NA,NA
2001,6,IL,6795568,236741,371587,11554,NA,15410728,31294,7900494,NA,59745,3745,NA,NA,NA
2001,6,IN,9999260,37036,221852,57682,NA,10592846,266022,NA,NA,9606,1388,NA,NA,NA
2001,6,KS,2823839,62222,157340,1085,NA,3898452,NA,853966,NA,NA,NA,NA,NA,NA
2001,6,KY,7857280,11066,47009,549853,NA,8466026,NA,NA,818,NA,NA,NA,NA,NA
2001,6,LA,1903011,281297,3724543,109438,NA,7787179,37455,1462821,192449,4750,71415,NA,NA,NA
2001,6,MA,897062,709251,1051595,73612,NA,3299909,NA,455358,10304,102289,66875,NA,-66437,NA
2001,6,MD,2573919,311975,140965,97273,NA,4425067,38601,1202772,1274,34492,23795,NA,NA,NA
2001,6,ME,41052,110384,818539,276716,NA,1603056,0,NA,303559,20697,32109,NA,NA,NA
2001,6,MI,5836067,131473,985677,144158,NA,9812861,407,2623685,132363,48107,9592,NA,-98668,NA
2001,6,MN,2580999,66239,92261,98620,64220,4115424,NA,1094881,47362,45094,25748,NA,NA,NA
2001,6,MO,5397994,77254,333070,193564,NA,6801956,NA,818314,NA,842,5865,NA,-24947,NA
2001,6,MS,1713664,608008,1180268,NA,NA,4529124,NA,886934,140250,0,0,NA,NA,NA
2001,6,MT,1047202,32791,1833,668241,NA,1756014,NA,NA,5947,NA,NA,NA,NA,NA
2001,6,NC,6443712,46534,212096,213431,NA,10468727,98,3419745,108374,8057,16680,NA,0,NA
2001,6,ND,2115437,4473,211,116369,NA,2243066,5939,NA,NA,637,NA,NA,NA,NA
2001,6,NE,1688127,906,34237,96456,203,2668618,NA,847421,NA,1268,0,NA,NA,NA
2001,6,NH,278073,65247,6832,100663,NA,1377186,NA,834215,74514,13437,4205,NA,NA,NA
2001,6,NJ,735546,210790,1718186,1683,NA,5540753,36177,2741433,NA,71910,38429,NA,-13401,NA
2001,6,NM,2516866,4023,504832,25688,NA,3052780,NA,NA,NA,1371,NA,NA,NA,NA
2001,6,NV,1589222,72139,873046,259152,NA,2887826,NA,NA,NA,NA,NA,NA,NA,94267
2001,6,NY,2000843,1501542,3924879,1920558,1918,13037610,10508,3558352,48275,103857,65256,NA,-98378,NA
2001,6,OH,10248585,30999,73156,55521,NA,11904709,28037,1435399,30401,2611,NA,NA,NA,NA
2001,6,OK,3011164,3462,1652578,367062,NA,5037572,4749,NA,12462,NA,NA,NA,-13905,NA
2001,6,OR,259335,990,861762,2439752,6447,3634471,NA,NA,58456,4406,3323,NA,NA,NA
2001,6,PA,9014416,420043,251067,134488,934,16284096,41503,6258889,43116,109860,65439,NA,-55659,NA
2001,6,RI,NA,4300,607578,259,NA,620770,NA,NA,NA,8633,NA,NA,NA,NA
2001,6,SC,3518768,13367,138806,89783,NA,8243320,0,4533603,72447,3240,2444,NA,-129138,NA
2001,6,SD,307826,2294,31474,255351,0,596945,NA,NA,NA,NA,NA,NA,NA,NA
2001,6,TN,4913307,31348,50954,412247,NA,7814104,1697,2407128,68695,4602,1269,NA,-77143,NA
2001,6,TX,12312672,110543,18320416,96921,92156,34619506,90506,3405594,59096,6734,124869,0,NA,NA
2001,6,UT,2738786,6797,143482,45331,NA,2949914,NA,NA,NA,382,289,NA,NA,14847
2001,6,VA,3034915,473553,370576,97542,NA,6500503,0,2506251,97877,52559,35124,0,-167894,NA
2001,6,VT,NA,1428,330,95212,771,497665,NA,372189,27735,NA,NA,NA,NA,NA
2001,6,WA,557123,6767,754629,5007944,NA,6434437,NA,-7286,95131,14189,5940,NA,NA,NA
2001,6,WI,3332841,31618,171072,222060,4381,4887862,NA,1031957,55099,22899,15935,NA,NA,NA
2001,6,WV,7088931,26597,10133,102242,NA,7238490,6563,NA,89,2243,1692,NA,NA,NA
2001,6,WY,3479735,4019,44912,126616,22828,3686041,801,NA,NA,NA,7130,NA,NA,NA
2001,6,US-TOTAL,162615804,11822841,57603154,20727630,669634,327693978,733198,68023098,2891025,1224773,977501,91143,-773650,1087828
2001,7,AK,55082,63515,314583,120671,74,553925,NA,NA,NA,NA,NA,NA,NA,NA
2001,7,AL,7190954,17031,1151447,502258,NA,12083310,18856,2830454,369865,1617,828,NA,NA,NA
2001,7,AR,2545407,49169,347823,255405,NA,4564078,NA,1268434,97240,597,3,NA,NA,NA
2001,7,AZ,3560135,5189,1370176,769449,NA,8443619,NA,2700619,NA,5722,NA,73,32256,NA
2001,7,CA,223656,240223,10845767,3002483,440390,19794556,107268,3294607,297554,185195,17679,91921,-665,1048478
2001,7,CO,3235081,9308,869525,161610,1423,4254903,NA,NA,NA,5717,0,NA,-27761,NA
2001,7,CT,345969,303243,316960,14541,NA,2589210,130,1464628,NA,72290,71449,NA,0,NA
2001,7,DC,NA,24107,NA,NA,NA,24107,NA,NA,NA,NA,NA,NA,NA,NA
2001,7,DE,324967,151665,167971,NA,NA,658145,13542,NA,NA,NA,NA,NA,NA,NA
2001,7,FL,6341317,4129617,4546495,15215,NA,18436001,60,2835310,158674,162746,246567,NA,NA,NA
2001,7,GA,7782658,85711,786712,208454,NA,12077028,NA,3014152,255664,3150,685,NA,-60158,NA
2001,7,HI,137736,725066,0,7624,185,936028,2619,NA,NA,27704,17518,NA,NA,17576
2001,7,IA,3342007,22508,99480,84011,22590,3949795,NA,371033,NA,7489,677,NA,NA,NA
2001,7,ID,8242,0,122487,931653,NA,1124100,NA,NA,52139,NA,9579,NA,NA,NA
2001,7,IL,7759636,351918,852414,12530,NA,17030114,32796,7952843,NA,64333,3644,NA,NA,NA
2001,7,IN,10879448,49915,318060,54883,NA,11597529,282211,NA,NA,11369,1643,NA,NA,NA
2001,7,KS,2919630,34067,625591,761,NA,4454021,NA,873972,NA,NA,NA,NA,NA,NA
2001,7,KY,8417504,10458,113659,611025,NA,9153530,NA,NA,884,NA,NA,NA,NA,NA
2001,7,LA,2306054,169686,4583498,68104,NA,9024895,39505,1536188,241962,3897,76001,NA,NA,NA
2001,7,MA,979075,632430,1096419,47787,NA,3359422,0,491576,11075,99431,64857,NA,-63228,NA
2001,7,MD,2684457,242134,243266,45822,NA,4568848,43263,1252634,1112,33325,22835,NA,NA,NA
2001,7,ME,49621,110680,964708,206059,NA,1691145,0,NA,297660,25042,37375,NA,NA,NA
2001,7,MI,6398902,149750,1498741,114028,NA,10491946,337,2221540,153525,63803,13428,NA,-122108,NA
2001,7,MN,2875430,49570,187410,53065,56036,4516024,NA,1187842,37180,44745,24746,NA,NA,NA
2001,7,MO,6111445,87233,852119,185970,NA,8057211,NA,841436,NA,831,5375,NA,-27198,NA
2001,7,MS,1504686,688240,2559109,NA,NA,5823780,NA,921701,150044,NA,NA,NA,NA,NA
2001,7,MT,1531968,34568,4380,570706,NA,2147991,NA,NA,6369,NA,NA,NA,NA,NA
2001,7,NC,6901945,38646,342481,199868,NA,11101971,118,3448542,143095,9214,18062,NA,NA,NA
2001,7,ND,2556378,4714,248,120356,NA,2688012,5814,NA,NA,502,NA,NA,NA,NA
2001,7,NE,1863968,3347,98085,114358,118,2983656,NA,902502,NA,1278,0,NA,NA,NA
2001,7,NH,307597,67250,6210,69711,NA,1407513,NA,861957,75389,14203,5196,NA,NA,NA
2001,7,NJ,821406,127582,1719830,1706,NA,5667685,38564,2855930,NA,76171,41081,NA,-14585,NA
2001,7,NM,2725190,3533,563331,25998,NA,3319695,NA,NA,NA,1643,NA,NA,NA,NA
2001,7,NV,1568414,83690,936367,238920,NA,2923845,NA,NA,NA,NA,NA,NA,NA,96454
2001,7,NY,2235029,1140497,4361028,1801239,1913,13127806,10288,3450942,36368,114658,73075,NA,-97231,NA
2001,7,OH,11086052,37797,203384,49838,NA,12415923,32437,973204,29870,3341,NA,NA,NA,NA
2001,7,OK,3111310,3855,3094052,151652,NA,6374598,4753,NA,26619,NA,NA,NA,-17643,NA
2001,7,OR,410171,45,852123,1905896,7492,3244327,NA,NA,61924,3805,2871,NA,NA,NA
2001,7,PA,10270111,384739,292329,86296,1008,17841919,52495,6580561,52758,116885,70338,NA,-65601,NA
2001,7,RI,NA,4522,682271,291,NA,695495,NA,NA,NA,8411,NA,NA,NA,NA
2001,7,SC,3597473,18905,196867,96488,NA,8637740,1,4778634,67662,2501,1887,NA,-122678,NA
2001,7,SD,302999,787,50574,358541,0,712901,NA,NA,NA,NA,NA,NA,NA,NA
2001,7,TN,5647457,15226,114904,527859,NA,8489708,1661,2198206,65973,4746,504,NA,-86828,NA
2001,7,TX,13218435,110686,22605566,100930,76348,39939836,146895,3460095,79613,9309,131959,0,NA,NA
2001,7,UT,3112204,5178,130214,41934,NA,3306210,NA,NA,NA,373,282,NA,NA,16025
2001,7,VA,3309615,482081,539860,99192,NA,6949851,NA,2524819,101333,54383,35926,0,-197358,NA
2001,7,VT,NA,2062,320,68195,696,478102,NA,379097,27732,NA,NA,NA,NA,NA
2001,7,WA,786660,4726,945976,3608067,NA,6058354,NA,595523,96853,14532,6017,NA,NA,NA
2001,7,WI,3970259,36716,358916,148660,3583,5713805,NA,1097059,56854,30019,11739,NA,NA,NA
2001,7,WV,7838120,26660,46096,82589,NA,8001256,6187,NA,189,807,608,NA,NA,NA
2001,7,WY,3908550,1781,50309,136421,23136,4128229,302,NA,NA,NA,7730,NA,NA,NA
2001,7,US-TOTAL,179060410,11042028,73030142,18079119,634992,357613700,840102,69166040,3053179,1285783,1022165,91994,-870786,1178533
2001,8,AK,65143,67181,331115,123284,73,586796,NA,NA,NA,NA,NA,NA,NA,NA
2001,8,AL,7316237,18437,1233284,667117,NA,12520917,19978,2893037,370347,1654,826,NA,NA,NA
2001,8,AR,2339537,121650,422255,179169,NA,4538995,NA,1318324,157475,578,7,NA,NA,NA
2001,8,AZ,3583296,5182,1258990,715875,NA,8257966,NA,2656410,NA,5449,NA,73,32691,NA
2001,8,CA,226382,187286,11506271,2809357,408487,20307443,102434,3280143,319438,190150,19126,85228,135796,1037345
2001,8,CO,3246174,6187,837291,188280,2931,4258974,NA,NA,NA,5910,0,NA,-27799,NA
2001,8,CT,353282,635643,526694,9188,NA,3063574,105,1396871,NA,72458,69333,NA,0,NA
2001,8,DC,NA,47587,NA,NA,NA,47587,NA,NA,NA,NA,NA,NA,NA,NA
2001,8,DE,363297,230621,322028,NA,NA,931323,15377,NA,NA,NA,NA,NA,NA,NA
2001,8,FL,6332893,5317378,4710674,17372,NA,19755769,66,2790136,155867,158878,272505,NA,NA,NA
2001,8,GA,7793817,103286,898766,226706,NA,12090260,NA,2878081,247148,3237,697,NA,-61478,NA
2001,8,HI,139326,746864,0,9768,235,957816,2480,NA,NA,26958,16671,NA,NA,15514
2001,8,IA,3313597,20865,102718,80752,24805,3899326,NA,346686,NA,8925,979,NA,NA,NA
2001,8,ID,7663,13,217751,850784,NA,1141175,NA,NA,54431,NA,10533,NA,NA,NA
2001,8,IL,7982835,224067,1073665,11888,NA,16994651,33422,7601200,NA,63367,4207,NA,NA,NA
2001,8,IN,11047926,88808,407410,47082,NA,11895147,289017,NA,NA,13034,1869,NA,NA,NA
2001,8,KS,3027040,65565,438485,795,NA,4406427,NA,874542,NA,NA,NA,NA,NA,NA
2001,8,KY,8402331,10133,138910,688597,NA,9240835,NA,NA,864,NA,NA,NA,NA,NA
2001,8,LA,2209344,192455,4925143,39657,NA,9254092,38465,1538130,231110,5936,73852,NA,NA,NA
2001,8,MA,1006867,878403,1362454,34547,NA,3800628,NA,411345,11559,100947,64713,NA,-70207,NA
2001,8,MD,2841139,494509,401275,21318,NA,5103740,43890,1245846,1232,32551,21980,NA,NA,NA
2001,8,ME,49714,297957,1071796,182584,NA,2005644,0,NA,341247,23773,38573,NA,NA,NA
2001,8,MI,6669913,133328,1728211,147686,NA,10933560,536,2137054,154095,68835,14380,NA,-120478,NA
2001,8,MN,3043832,48087,204230,59089,49354,4325689,NA,805066,48781,43400,23850,NA,NA,NA
2001,8,MO,6387065,79703,839086,99385,NA,8225010,NA,843774,NA,1138,5775,NA,-30916,NA
2001,8,MS,1672107,582180,2684173,NA,NA,5654418,NA,577561,138397,NA,NA,NA,NA,NA
2001,8,MT,1640712,24037,3710,506086,NA,2180469,NA,NA,5924,NA,NA,NA,NA,NA
2001,8,NC,7707008,52165,570103,320919,NA,12337804,136,3512007,143695,10480,21291,NA,0,NA
2001,8,ND,2688052,3450,296,121643,NA,2820223,6223,NA,NA,559,NA,NA,NA,NA
2001,8,NE,1889821,7040,56552,117979,105,2965856,NA,893192,NA,1167,0,NA,NA,NA
2001,8,NH,335229,88005,7129,41920,NA,1397092,NA,835010,71479,13155,5165,NA,NA,NA
2001,8,NJ,989241,232125,2200677,1921,NA,6427343,39710,2865642,NA,73833,38594,NA,-14400,NA
2001,8,NM,2370652,3000,522897,23786,NA,2921975,NA,NA,NA,1640,NA,NA,NA,NA
2001,8,NV,1694674,87677,1135268,219069,NA,3234749,NA,NA,NA,NA,NA,NA,NA,98061
2001,8,NY,2361049,1510731,5451478,1698303,2047,14719546,11011,3543865,44301,112530,70719,NA,-86488,NA
2001,8,OH,11795883,37671,240464,38856,NA,13745928,29631,1567216,33431,2776,NA,NA,NA,NA
2001,8,OK,3362733,3828,2713585,96304,NA,6187885,5987,NA,21572,NA,NA,NA,-16124,NA
2001,8,OR,389622,342,1165271,1875781,4966,3511174,NA,NA,67483,4394,3315,NA,NA,NA
2001,8,PA,10703588,549771,408024,57884,1050,18427853,54303,6473949,56743,116196,67941,NA,-61596,NA
2001,8,RI,NA,5306,775841,330,NA,789519,NA,NA,NA,8042,NA,NA,NA,NA
2001,8,SC,3716175,48160,282896,113592,NA,8918603,0,4823357,72508,2354,1775,NA,-142214,NA
2001,8,SD,299427,2172,47660,477394,0,826653,NA,NA,NA,NA,NA,NA,NA,NA
2001,8,TN,5573280,11692,104913,959846,NA,9142632,1778,2483521,67582,4950,217,NA,-65147,NA
2001,8,TX,12779997,111088,22805027,91680,55825,39376594,145729,3174506,70950,7295,134499,-2,NA,NA
2001,8,UT,3090968,4835,127168,39666,NA,3279087,NA,NA,NA,75,57,NA,NA,16318
2001,8,VA,3702232,739817,807404,84925,NA,7732727,NA,2391745,98869,57010,36978,0,-186253,NA
2001,8,VT,NA,3555,190,47491,467,464013,NA,371824,40486,NA,NA,NA,NA,NA
2001,8,WA,914591,3744,819934,4416519,NA,7045917,NA,785605,90601,10354,4569,NA,NA,NA
2001,8,WI,3995138,60147,380408,150298,4023,5768842,NA,1073851,60986,29775,14216,NA,NA,NA
2001,8,WV,8005519,31834,90223,75486,NA,8211780,6773,NA,89,1058,798,NA,NA,NA
2001,8,WY,3689725,3859,50011,125809,22838,3900801,639,NA,NA,NA,7920,NA,NA,NA
2001,8,US-TOTAL,183116073,14229426,78409804,18913768,577206,370532828,847690,68389496,3178690,1284821,1047929,85299,-714613,1167238
2001,9,AK,58910,71144,355210,154816,86,640166,NA,NA,NA,NA,NA,NA,NA,NA
2001,9,AL,6301430,14358,989861,556309,NA,11014510,17496,2819890,313738,1144,284,NA,NA,NA
2001,9,AR,2329977,61329,287048,119673,NA,4220271,NA,1286283,135399,551,11,NA,NA,NA
2001,9,AZ,3227225,3472,1074056,494685,NA,7456615,NA,2616290,NA,4941,NA,76,35870,NA
2001,9,CA,182546,168981,9412643,2028142,293075,16852629,78930,3163653,288878,176642,15901,64730,-41528,1020036
2001,9,CO,2809067,1975,727908,145638,2125,3664530,NA,NA,NA,4898,0,NA,-27081,NA
2001,9,CT,295070,151576,675268,8016,NA,2701134,66,1435437,NA,68772,66929,NA,0,NA
2001,9,DC,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2001,9,DE,116162,49789,263216,NA,NA,440667,11500,NA,NA,NA,NA,NA,NA,NA
2001,9,FL,5595303,3245051,4856803,10418,NA,17107088,54,2852004,113902,161753,271800,NA,NA,NA
2001,9,GA,5842175,86102,433306,153773,NA,9236560,NA,2556682,218519,2388,662,NA,-57047,NA
2001,9,HI,136116,700479,0,8257,230,898730,2449,NA,NA,26915,15799,NA,NA,8486
2001,9,IA,2658428,3683,49935,73814,26291,3210550,NA,387653,NA,9678,1068,NA,NA,NA
2001,9,ID,5420,9,219790,465699,NA,749900,NA,NA,48600,NA,10382,NA,NA,NA
2001,9,IL,6572803,108651,289726,10574,NA,14281396,28703,7210992,NA,55722,4225,NA,NA,NA
2001,9,IN,9545199,44188,180791,41574,NA,10085994,262034,NA,NA,10780,1428,NA,NA,NA
2001,9,KS,2669764,3849,111920,1260,NA,3640128,NA,853335,NA,NA,NA,NA,NA,NA
2001,9,KY,7562793,9468,59888,242969,NA,7875899,NA,NA,781,NA,NA,NA,NA,NA
2001,9,LA,1914629,109046,3812535,23705,NA,7525832,36771,1316622,236193,5505,70826,NA,NA,NA
2001,9,MA,539381,478646,1364471,28745,NA,2976987,NA,475870,8595,93922,60990,NA,-73633,NA
2001,9,MD,2500417,114402,221798,34220,NA,4175700,35687,1212574,1144,32811,22647,NA,NA,NA
2001,9,ME,44797,133395,1022417,175613,NA,1752340,0,NA,314158,25082,36878,NA,NA,NA
2001,9,MI,5568936,42675,1168138,93535,NA,7752935,373,794618,132970,57411,11191,NA,-116912,NA
2001,9,MN,2605572,53535,63220,41503,55098,3970185,NA,1038436,49536,40108,23177,NA,NA,NA
2001,9,MO,5423641,63281,350014,22834,NA,6662236,NA,823728,NA,198,5392,NA,-26852,NA
2001,9,MS,1611263,228722,2118973,NA,NA,4976550,NA,892961,124631,NA,NA,NA,NA,NA
2001,9,MT,1477870,51784,600,464278,NA,1999681,NA,NA,5149,NA,NA,NA,NA,NA
2001,9,NC,5914353,32603,116045,257053,NA,9661408,93,3188662,135050,8263,9286,NA,0,NA
2001,9,ND,2210952,2181,251,93525,NA,2312952,5297,NA,NA,746,NA,NA,NA,NA
2001,9,NE,1700931,544,16156,115037,144,2712274,NA,878107,NA,1355,0,NA,NA,NA
2001,9,NH,349144,23719,18979,37232,NA,1350562,NA,834916,68928,12571,5073,NA,NA,NA
2001,9,NJ,766803,50242,1501226,1502,NA,4966426,36773,2514197,NA,69887,37882,NA,-12086,NA
2001,9,NM,2195658,5518,383052,15497,NA,2601299,NA,NA,NA,1574,NA,NA,NA,NA
2001,9,NV,1545448,148717,946200,157720,NA,2895516,NA,NA,NA,NA,NA,NA,NA,97431
2001,9,NY,1530827,609464,4193237,1574951,1629,11583029,9372,3545835,39199,106281,67633,NA,-95399,NA
2001,9,OH,9740115,27208,60568,32135,NA,11460354,25777,1537585,34516,2450,NA,NA,NA,NA
2001,9,OK,2791657,2939,1789771,63854,NA,4661520,5564,NA,16955,NA,NA,NA,-9220,NA
2001,9,OR,391211,78,1054386,1809333,4782,3328436,NA,NA,62572,3462,2612,NA,NA,NA
2001,9,PA,8997513,107839,396761,64011,891,15210385,56841,5427798,47877,107938,66778,NA,-63862,NA
2001,9,RI,NA,4758,749340,321,NA,762797,NA,NA,NA,8378,NA,NA,NA,NA
2001,9,SC,3080931,8340,73948,91817,NA,7270901,7,4027859,66467,2324,1753,NA,-82545,NA
2001,9,SD,308333,325,14095,453151,0,775904,NA,NA,NA,NA,NA,NA,NA,NA
2001,9,TN,4957209,7045,24480,739402,NA,8103377,1513,2371359,66553,3108,104,NA,-67396,NA
2001,9,TX,11579150,107315,16887867,79966,75750,32471977,144520,3383498,70184,7552,136178,-3,NA,NA
2001,9,UT,2987771,4031,118606,35923,NA,3160352,NA,NA,NA,549,415,NA,NA,13057
2001,9,VA,2973233,145917,750448,69686,NA,5736863,0,1920679,90446,46937,30231,0,-290714,NA
2001,9,VT,NA,1065,240,43512,582,445008,NA,365191,34418,NA,NA,NA,NA,NA
2001,9,WA,778693,4185,701727,3871842,NA,6271530,NA,805414,92163,12063,5443,NA,NA,NA
2001,9,WI,3184515,30512,206903,119603,6410,4484159,NA,840323,56488,26780,12625,NA,NA,NA
2001,9,WV,5764367,14827,19436,41780,NA,5847463,6851,NA,160,24,18,NA,NA,NA
2001,9,WY,2814610,3523,47883,87126,23136,2985163,695,NA,NA,NA,8190,NA,NA,NA
2001,9,US-TOTAL,154158317,7342486,60181140,15256027,490229,306928866,767366,63378451,2874169,1201462,1003811,64803,-928405,1139010
2001,10,AK,38751,91507,314444,134918,83,579703,NA,NA,NA,NA,NA,NA,NA,NA
2001,10,AL,6027634,18025,1019941,489041,NA,10321847,15597,2409155,340679,1296,479,NA,NA,NA
2001,10,AR,2152991,4213,308087,127479,NA,4087246,NA,1333381,160487,593,15,NA,NA,NA
2001,10,AZ,3558956,2158,1098968,499745,NA,6386127,NA,1200058,NA,4063,NA,54,22125,NA
2001,10,CA,137018,217837,8942997,1819154,253310,15929260,66816,2960685,285883,176796,16871,20759,8798,1022336
2001,10,CO,2647793,4654,873818,119924,5032,3637309,NA,NA,NA,5408,0,NA,-19320,NA
2001,10,CT,156843,200237,614556,7689,NA,2605908,187,1491469,NA,68818,66109,NA,0,NA
2001,10,DC,NA,3497,NA,NA,NA,3497,NA,NA,NA,NA,NA,NA,NA,NA
2001,10,DE,116225,173596,233271,NA,NA,536848,13756,NA,NA,NA,NA,NA,NA,NA
2001,10,FL,5606565,2871744,4574131,8514,NA,15525035,60,1856722,171512,151622,284165,NA,NA,NA
2001,10,GA,5093697,84786,239794,165003,NA,8285251,NA,2481022,266319,2328,664,NA,-48362,NA
2001,10,HI,133282,704728,0,9880,250,914094,4096,NA,NA,26703,15903,NA,NA,19252
2001,10,IA,2797529,4864,38502,74714,52246,3279149,NA,299934,NA,10559,801,NA,NA,NA
2001,10,ID,4108,21,225144,425662,NA,701595,NA,NA,37031,NA,9629,NA,NA,NA
2001,10,IL,5856551,7648,320718,10976,NA,13841541,28570,7557378,NA,55456,4244,NA,NA,NA
2001,10,IN,9597360,30548,113629,47829,NA,10054997,256079,NA,NA,8420,1133,NA,NA,NA
2001,10,KS,2518347,14902,87985,2593,NA,3511120,NA,887293,NA,NA,NA,NA,NA,NA
2001,10,KY,7125236,6938,38526,411209,NA,7582673,NA,NA,764,NA,NA,NA,NA,NA
2001,10,LA,1618037,171209,3232932,29768,NA,6571928,37580,1141805,256572,6891,77134,NA,NA,NA
2001,10,MA,1018955,352511,1234768,28965,NA,3245473,NA,497586,11825,103930,68021,NA,-71087,NA
2001,10,MD,2483695,154710,159120,34481,NA,4139410,33743,1223040,678,29657,20286,NA,NA,NA
2001,10,ME,28900,134704,958136,162169,NA,1567777,0,NA,224356,25503,34009,NA,NA,NA
2001,10,MI,5144121,36903,1460002,116557,NA,8887867,587,1915632,155217,64951,13911,NA,-20013,NA
2001,10,MN,2650430,55002,106077,56500,91171,4264238,NA,1201758,42998,39224,21078,NA,NA,NA
2001,10,MO,5349164,56776,246663,59635,NA,6559906,NA,858914,NA,713,5343,NA,-17302,NA
2001,10,MS,2055748,2766,2286654,NA,NA,5439860,NA,939180,155512,NA,NA,NA,NA,NA
2001,10,MT,1653932,51831,718,467305,NA,2177430,NA,NA,3644,NA,NA,NA,NA,NA
2001,10,NC,5629910,31295,86943,224345,NA,9077946,39,2938467,158228,7820,899,NA,0,NA
2001,10,ND,2241181,3040,208,84442,NA,2335056,5502,NA,NA,683,NA,NA,NA,NA
2001,10,NE,1576140,798,20920,114718,304,2634389,NA,920192,NA,1317,0,NA,NA,NA
2001,10,NH,361167,55054,28778,38641,NA,1292050,NA,723475,67751,12307,4877,NA,NA,NA
2001,10,NJ,808100,33003,1650881,1382,NA,4511012,36741,1880092,NA,69606,39706,NA,-8499,NA
2001,10,NM,2352771,1794,355579,13329,NA,2725054,NA,NA,NA,1581,NA,NA,NA,NA
2001,10,NV,1705165,14458,1066253,106955,NA,2997104,NA,NA,NA,NA,NA,NA,NA,104273
2001,10,NY,1707743,544339,3772388,1740130,1659,11419730,9735,3494433,24540,111413,71423,NA,-58073,NA
2001,10,OH,9497871,34907,39248,32990,NA,11217241,23686,1555180,31300,2059,NA,NA,NA,NA
2001,10,OK,2764271,1668,1545310,120831,NA,4453555,7339,NA,22652,NA,NA,NA,-8516,NA
2001,10,OR,415499,112,1068248,1902572,7468,3470200,NA,NA,68407,4500,3394,NA,NA,NA
2001,10,PA,8818549,129320,312627,63294,859,15302784,57119,5728264,56613,106330,70293,NA,-40484,NA
2001,10,RI,NA,4728,732117,314,NA,745310,NA,NA,NA,8151,NA,NA,NA,NA
2001,10,SC,2452959,17726,160167,96036,NA,6963396,6,4222001,68063,1998,1508,NA,-57068,NA
2001,10,SD,229522,559,3588,363907,0,597576,NA,NA,NA,NA,NA,NA,NA,NA
2001,10,TN,4058706,29071,19633,702486,NA,7146984,1572,2277950,68851,3036,135,NA,-14456,NA
2001,10,TX,9736388,22819,15188595,49076,123255,28083635,128386,2615902,83628,8538,127048,0,NA,NA
2001,10,UT,3044640,4007,89242,32150,NA,3186872,NA,NA,NA,551,416,NA,NA,15866
2001,10,VA,2959001,86292,540339,55639,NA,5416467,NA,1881778,95365,48744,32299,0,-282990,NA
2001,10,VT,NA,967,340,44261,1126,459148,NA,384957,27497,NA,NA,NA,NA,NA
2001,10,WA,737855,7156,692516,3951553,NA,6348333,NA,841249,99149,13085,5770,NA,NA,NA
2001,10,WI,3556985,34792,201305,121397,12297,4773840,NA,742015,60454,29987,14608,NA,NA,NA
2001,10,WV,5208106,13501,20106,30800,NA,5282311,9307,NA,491,0,0,NA,NA,NA
2001,10,WY,3496418,4213,51528,33544,57769,3656526,504,NA,NA,NA,12550,NA,NA,NA
2001,10,US-TOTAL,148930816,6533933,56376441,15234503,606829,294733613,737007,60460967,3046466,1214638,1024720,20813,-615247,1161727
2001,11,AK,37497,98718,325654,102481,86,564436,NA,NA,NA,NA,NA,NA,NA,NA
2001,11,AL,5521952,17582,1034307,478542,NA,9886874,12117,2488569,331366,1678,761,NA,NA,NA
2001,11,AR,1888881,4835,235106,112558,NA,3626715,NA,1243740,141030,553,12,NA,NA,NA
2001,11,AZ,3165895,3492,826900,539366,NA,6814355,NA,2262870,NA,4015,NA,38,11779,NA
2001,11,CA,143407,190672,7011475,1357031,143261,13419388,66371,3067781,271285,159323,16412,14251,-44335,1022454
2001,11,CO,2992049,3783,631702,77601,5034,3689135,NA,NA,NA,4760,0,NA,-25794,NA
2001,11,CT,276234,141757,291926,5656,NA,2226920,49,1372527,NA,70246,68525,NA,0,NA
2001,11,DC,NA,31622,NA,NA,NA,31622,NA,NA,NA,NA,NA,NA,NA,NA
2001,11,DE,96229,103615,102481,NA,NA,314514,12189,NA,NA,NA,NA,NA,NA,NA
2001,11,FL,4706288,1884865,3505258,8976,NA,13471979,33,2778384,146178,160187,281810,NA,NA,NA
2001,11,GA,4689200,64767,83990,170546,NA,8181096,NA,2962950,241309,1945,654,NA,-34265,NA
